date,asset,lag,feature,importance
2020-03-11,BTC,12,squared down-return,5.7538350423177086e-05
2020-03-11,BTC,13,return,0.0002318223317464193
2020-03-11,BTC,13,squared return,5.666414896647136e-05
2020-03-11,BTC,13,squared down-return,7.502237955729167e-05
2020-03-11,BTC,14,return,0.007185935974121094
2020-03-11,BTC,14,squared return,0.00019192695617675784
2020-03-11,BTC,14,squared down-return,-6.715456644694011e-05
2020-03-11,BTC,15,return,-8.392333984375e-05
2020-03-11,BTC,15,squared return,2.7020772298177082e-05
2020-03-11,BTC,15,squared down-return,-0.0001976490020751953
2020-03-11,BTC,16,return,-0.0025158723195393877
2020-03-11,BTC,16,squared return,0.0007370313008626302
2020-03-11,BTC,16,squared down-return,0.0006231466929117838
2020-03-11,BTC,17,return,0.00419163703918457
2020-03-11,BTC,17,squared return,-0.0004027684529622396
2020-03-11,BTC,17,squared down-return,-0.0004818439483642578
2020-03-11,BTC,18,return,0.0027869542439778647
2020-03-11,BTC,18,squared return,0.00043614705403645837
2020-03-11,BTC,18,squared down-return,0.00016355514526367188
2020-03-11,BTC,19,return,0.0019985040028889975
2020-03-11,BTC,19,squared return,0.00024008750915527344
2020-03-11,BTC,19,squared down-return,8.209546407063802e-05
2020-03-11,BTC,20,return,0.015547593434651692
2020-03-11,BTC,20,squared return,0.000244140625
2020-03-11,BTC,20,squared down-return,0.00015958150227864582
2020-05-10,BTC,1,return,0.0019568602244059248
2020-05-10,BTC,1,squared return,0.00040427843729654944
2020-05-10,BTC,1,squared down-return,0.0002798239390055338
2020-05-10,BTC,2,return,-0.000717480977376302
2020-05-10,BTC,2,squared return,0.00017023086547851562
2020-05-10,BTC,2,squared down-return,0.00021608670552571613
2020-05-10,BTC,3,return,0.0012602011362711587
2020-05-10,BTC,3,squared return,-0.0001285870869954427
2020-05-10,BTC,3,squared down-return,-2.0662943522135394e-06
2020-05-10,BTC,4,return,0.0032412211100260415
2020-05-10,BTC,4,squared return,0.0003951390584309896
2020-05-10,BTC,4,squared down-return,0.0005060036977132161
2020-05-10,BTC,5,return,0.002936919530232747
2020-05-10,BTC,5,squared return,8.908907572428385e-05
2020-05-10,BTC,5,squared down-return,0.0001373291015625
2020-05-10,BTC,6,return,-0.0027058919270833335
2020-05-10,BTC,6,squared return,-0.0002465248107910157
2020-05-10,BTC,6,squared down-return,-9.171168009440103e-05
2020-05-10,BTC,7,return,-0.0033675034840901694
2020-05-10,BTC,7,squared return,-0.0008161067962646484
2020-05-10,BTC,7,squared down-return,0.0005781650543212891
2020-05-10,BTC,8,return,-0.0019411245981852216
2020-05-10,BTC,8,squared return,-0.000503381093343099
2020-05-10,BTC,8,squared down-return,-4.378954569498698e-05
2020-05-10,BTC,9,return,-0.002978006998697917
2020-05-10,BTC,9,squared return,0.00010665257771809894
2020-05-10,BTC,9,squared down-return,-7.16845194498698e-05
2020-05-10,BTC,10,return,-0.00595545768737793
2020-05-10,BTC,10,squared return,-0.00046976407368977863
2020-05-10,BTC,10,squared down-return,-0.00015910466512044272
2020-05-10,BTC,11,return,-0.0008912086486816406
2020-05-10,BTC,11,squared return,0.00016085306803385418
2020-05-10,BTC,11,squared down-return,0.0001800855000813802
2020-05-10,BTC,12,return,0.0019110838572184243
