asset,alpha,asof,date,lag,ret,per_day,c_return,c_squared,c_down_squared,base_var,flat_var
ETH,0.01,2026-09-23,2026-09-12,12,0.003768081311301149,-0.00020872462963750227,-0.0002091487754718735,4.2309867297196657e-07,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-13,11,-0.019520790637656917,0.0008795682171794522,0.0008570752405250986,9.791169389233856e-06,1.4948201613046441e-05,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-14,10,0.015482448721950155,-0.0006125610800006565,-0.0006180811323941299,5.177776185361083e-06,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-15,9,-0.04782749541700071,0.001517943228233426,0.0014289192175836463,4.171539298809812e-05,6.352166399338499e-05,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-16,8,0.008304798879415877,-0.00022672239799095828,-0.0002277930927953309,1.0476690328609095e-06,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-17,7,0.011928930448222286,-0.00027158195648289973,-0.0002734617264752298,1.8334122836860534e-06,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-18,6,0.06519260501076383,-0.0012685927782301737,-0.001320940455242281,4.6367064483590625e-05,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-19,5,0.007836328407657052,-0.00012783241362319953,-0.00012841758007969828,5.842785626153368e-07,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-20,4,0.004744320083342025,-6.804570020298162e-05,-6.824733873987687e-05,1.8132826209993347e-07,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-21,3,0.04832902686271647,-0.0006377695282040186,-0.0006561224007417682,1.7486312827399986e-05,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-22,2,-0.008159442862044633,0.00011023618086045128,0.00010896852793197687,4.6339367421044386e-07,7.857529923382955e-07,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-23,1,-0.025347326565563894,0.00039934606386819727,0.00038641127470974423,4.774847788394099e-06,8.421279795639558e-06,0.08450518566672427,0.08366458518412415
